Details,Prix,Adresse,Superficie,image_link-src
Terrain Diamniadio Cite Fonctionnaire,3800000,Keur moussa,150,https://i.roamcdn.net/hz/ed/listing-thumb-543w/96ca6d156176838edcd608f7acb76eb1/-/horizon-files-prod/ed/picture/qngx4p4k/64658fb8ee56300fd28ac78fe168dbdc1c9bfe0b.jpg
TERRAIN A VENDRE CITE FONCTIONNAIRE,15000000,Diamniadio,300,https://i.roamcdn.net/hz/ed/listing-thumb-543w/5fc8a24ebc712ae294becc9b626f1d7f/-/horizon-files-prod/ed/picture/q6xdz40j/acc10783d54e5129f6ad800b2eab12bfd8ada641.jpg
Diamniadio 1 hectare,12000,Diamniadio,10000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/8652afbcafcc881417e6608867e8bf04/-/horizon-files-prod/ed/picture/q2j059mg/4612934107b03dbfcc1ec526c30800c1c258fb2c.jpg
A vendre un terrain bail,8000000,Toubab Dialaw,300,https://i.roamcdn.net/hz/ed/listing-thumb-543w/e8bcd8a633508c54ea0aeae8bc960e0c/-/horizon-files-prod/ed/picture/qwepjekj/0bc872e68548cd7d36d5a7058d3299953f236ae8.jpg
Parcelles de terrain à vendre à Nguerigne,24000000,Nguering,600,https://i.roamcdn.net/hz/ed/listing-thumb-543w/4794d4a1e50036b6a9d8c26d2d5b45ac/-/horizon-files-prod/ed/picture/qngp2vdw/f2285471fb7cc62557da385c91e2ff126f77f52f.jpg
Lotissement à diass,3500000,Diass,180,https://i.roamcdn.net/hz/ed/listing-thumb-543w/7f8a07542e946b0734bf440a7a46228c/-/horizon-files-prod/ed/picture/q9mjgkkn/5692557048957f5a46a19bae7fe77c393360c639.jpg
100 hectares à bambilor,16000,Bambilor,150,https://i.roamcdn.net/hz/ed/listing-thumb-543w/b6aada0cb6d17790a96e18e88a254513/-/horizon-files-prod/ed/picture/q6xdqpqd/92dcd4c62e6f4b822570e241a107dfac52814465.jpg
Terrain 2 hectares 800 noflaye,45000,Noflaye,28000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/ce1edded4251cb575ffd22b88768b93f/-/horizon-files-prod/ed/picture/q8v59kj6/19089c02221105893df5394a7e11bf6bd3d3e9c8.jpg
terrain industriel,1,Kounoune,7187,https://i.roamcdn.net/hz/ed/listing-thumb-543w/353d55283715ab3ceb823c01bad5dbcd/-/horizon-files-prod/ed/picture/q8v4n78j/9696eb17c0a09a0bcebffbbf00ea8f0a229be541.png
Coopérative keur issa possibilité de payer sur 20 mois,1500000,Thiès,180,https://i.roamcdn.net/hz/ed/listing-thumb-543w/2fb16780b88a361305c7ded8027f9330/-/horizon-files-prod/ed/picture/q9m96qj6/f55d16eb7d89787a11dcedc8e16cefafd86b18ff.jpg
Promo magal terrain à djibril mbengue,500000,Thiès,210,https://i.roamcdn.net/hz/ed/listing-thumb-543w/885e68566b0890039e754e5da8645bd8/-/horizon-files-prod/ed/picture/qngpppek/3c48a92b3e5e8c1938b7da109b56335008063d7a.jpg
